"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KLF10",-1.22642247394696,10.6013058818181,-17.4670425787928,5.04026180645587e-61,8.76526344372283e-60,127.881938512108
"EGFR",-3.3272457505334,7.66251771378619,-17.4648577518914,5.19635582973873e-61,9.02905390398877e-60,127.851565524839
"IGFBP1",-2.42590012479993,1.15543933867154,-17.4645887328686,5.21590624958016e-61,9.05534368041518e-60,127.847825836725
"DNA2",1.63207259849652,7.05063006487971,17.4645105581576,5.22160118787304e-61,9.05755477855775e-60,127.84673912058
"EPM2A",-1.04193096129494,7.13253779969341,-17.4641512137557,5.24785891007024e-61,9.09540081486455e-60,127.841743867525
"ANGPTL2",-1.92671319586964,10.3325514499259,-17.4618812250772,5.41680104231084e-61,9.3802693282147e-60,127.810190121617
"TRIB3",1.60340853389138,9.59994732420011,17.4590276082085,5.63689699272567e-61,9.7531648473799e-60,127.770527161088
"FAM110A",1.47005794945569,9.0889412256447,17.4569958053816,5.79902353195314e-61,1.00252148586997e-59,127.742289091699
"ARHGAP19",-1.04212235001329,8.84004105829736,-17.4284285588363,8.63797608855325e-61,1.49205377866865e-59,127.345466935303
"ETS2",-1.41182491548969,9.99744483335218,-17.4241594197634,9.16768412692864e-61,1.58221716111424e-59,127.28619828596
"SCN2A",-3.23756300558662,4.24450826358873,-17.4203861360556,9.66277818707914e-61,1.66625988165407e-59,127.233820801488
"FOS",-2.9911621081421,11.5264273843577,-17.4184843834177,9.9223277314259e-61,1.70957784613954e-59,127.207424859499
"AIFM2",-1.4482935970923,8.63584032398612,-17.4125735301355,1.0774273897696e-60,1.85480483250588e-59,127.125394348137
"FOXP2",-2.69229241252944,3.49815740405802,-17.4060018029066,1.18073895110662e-60,2.02924648929281e-59,127.034211698748
"PTPRM",-1.57978256338797,9.59328197407413,-17.4042304323565,1.21023870166532e-60,2.07820201528213e-59,127.009637453083
"TSEN54",1.1692462333511,9.0451440682651,17.4020488275574,1.24758257361852e-60,2.14053405386507e-59,126.979374067275
"LMO2",-1.33321292407979,8.00818840809997,-17.4012938739163,1.26077151457853e-60,2.16089000371968e-59,126.96890181931
"DUSP1",-2.32838459725598,11.2344457564226,-17.4012491945781,1.26155640166394e-60,2.16089000371968e-59,126.968282063757
"PIK3R1",-1.71880293572074,11.3281170366185,-17.3930873515852,1.41342955440652e-60,2.41900733931262e-59,126.855083483766
"ADAMTSL4",-2.08890367122405,7.58075223214223,-17.3842253878515,1.59904590794355e-60,2.7343951978407e-59,126.732210563545
"YDJC",1.41981995765502,8.14956719470667,17.380962002524,1.67336238279188e-60,2.85909105703706e-59,126.686972462074
"SLC6A2",-3.098463979572,1.77158832891626,-17.3751999498562,1.81309115000427e-60,3.09267154862511e-59,126.60710938251
"LMX1A",-2.22951542582243,1.72295840370209,-17.373809029041,1.84852895282149e-60,3.15049618365233e-59,126.587833335967
"NMNAT2",-2.93262419945781,5.32178402573531,-17.3675253807142,2.01743335065496e-60,3.43550620295242e-59,126.500762994422
"GPR124",-1.59069511194003,9.82809061578795,-17.3661368668761,2.05678586630015e-60,3.49961090174626e-59,126.481525371762
"SMC4",1.3371359297107,10.6996578630681,17.3635361102164,2.13256702345021e-60,3.62554091638182e-59,126.445494799359
"SFRP1",-4.80416773548701,9.89703858456911,-17.3499123144455,2.57747283564981e-60,4.3746568774749e-59,126.256804965538
"SLC9A9",-1.69505776878123,6.74825246379625,-17.3487692219159,2.61876753795393e-60,4.44106554491094e-59,126.240977131356
"VAMP8",1.07016804438702,11.1920486154684,17.3480840223048,2.64383635501016e-60,4.47987027036709e-59,126.23148981129
"DDR2",-2.60913089407453,7.47504947663439,-17.346273018891,2.71125249277656e-60,4.59030731958848e-59,126.206415612798
"MAS1L",-1.22169265450598,0.591651027615255,-17.3398797571186,2.96325510875922e-60,5.01281950107691e-59,126.117910380468
"IL17B",-3.09610970888108,2.4186254546316,-17.3271780845774,3.53532981930742e-60,5.97071448296222e-59,125.942132384564
"HOXA9",-2.64752472482365,5.29792529707303,-17.3255784217791,3.61478388668979e-60,6.09987336925265e-59,125.920000166064
"WIF1",-4.9220826292448,3.05005124399189,-17.3253804943293,3.62473782423567e-60,6.11163613722567e-59,125.91726181538
"GRK5",-1.31889510456438,7.8876043063029,-17.3216329197002,3.81845195505097e-60,6.43296108151104e-59,125.865417187865
"FKBP4",1.35789510586192,12.7475485343335,17.320111165177,3.9000296053676e-60,6.56499642527204e-59,125.844366874162
"CLCN2",1.34007093934132,6.98544464230712,17.3173139352889,4.05454411383546e-60,6.81949020657087e-59,125.805675892654
"RAPGEF2",-1.04967138036965,9.3550172840949,-17.3127251788041,4.32135494318164e-60,7.26228690451346e-59,125.742212804975
"C1orf135",1.87198595284581,5.89734272847548,17.3095827445699,4.51410429901937e-60,7.57999513686154e-59,125.698758343733
"WSCD1",-2.16594976691422,5.12652781154395,-17.3039011399336,4.88462806768288e-60,8.19545377514754e-59,125.620203506703
"MPDZ",-1.40515603772593,9.46724423499297,-17.3000131175413,5.1555181574322e-60,8.64287602071654e-59,125.566455941508
"SNRPB",1.14799480159878,11.4739820548387,17.2984450256132,5.26896648620669e-60,8.82584198171956e-59,125.544780869273
"SNTB2",-1.06341825118698,9.49994341816012,-17.2960877570331,5.4442126867868e-60,9.11193963247667e-59,125.512199555431
"CCDC152",-1.76625934154844,5.81322767413312,-17.2857780321433,6.28157784824513e-60,1.04962808971574e-58,125.36973352388
"EVPL",1.98555707411635,9.64905502795849,17.2691688362678,7.90899326434587e-60,1.32048603107897e-58,125.140324684286
"PVRL3",-2.27234223876554,5.25261865403934,-17.2665410169079,8.20249065217005e-60,1.36837315554036e-58,125.104040947478
"C9orf5",-1.03471790605084,10.6798030536346,-17.258928740576,9.11545278176894e-60,1.51943991608884e-58,124.998952794351
