"Tumor_Sample_Barcode" "Type"
"TCGA-A8-A0AB-01" "TCGA-A8-A0AB" "Tumor"
"TCGA-A8-A0AD-01" "TCGA-A8-A0AD" "Tumor"
"TCGA-AC-A23C-01" "TCGA-AC-A23C" "Tumor"
"TCGA-AC-A23E-01" "TCGA-AC-A23E" "Tumor"
"TCGA-AC-A23G-01" "TCGA-AC-A23G" "Tumor"
"TCGA-AC-A23H-01" "TCGA-AC-A23H" "Tumor"
"TCGA-AC-A2B8-01" "TCGA-AC-A2B8" "Tumor"
"TCGA-AC-A2BK-01" "TCGA-AC-A2BK" "Tumor"
"TCGA-AC-A2BM-01" "TCGA-AC-A2BM" "Tumor"
"TCGA-AC-A2FB-01" "TCGA-AC-A2FB" "Tumor"
"TCGA-AC-A2FE-01" "TCGA-AC-A2FE" "Tumor"
"TCGA-AC-A2FF-01" "TCGA-AC-A2FF" "Tumor"
"TCGA-AC-A2FG-01" "TCGA-AC-A2FG" "Tumor"
"TCGA-AC-A2FK-01" "TCGA-AC-A2FK" "Tumor"
"TCGA-AC-A2FM-01" "TCGA-AC-A2FM" "Tumor"
"TCGA-AC-A2FO-01" "TCGA-AC-A2FO" "Tumor"
"TCGA-AC-A2QH-01" "TCGA-AC-A2QH" "Tumor"
"TCGA-AC-A2QI-01" "TCGA-AC-A2QI" "Tumor"
"TCGA-AC-A2QJ-01" "TCGA-AC-A2QJ" "Tumor"
"TCGA-AC-A3BB-01" "TCGA-AC-A3BB" "Tumor"
"TCGA-AC-A3EH-01" "TCGA-AC-A3EH" "Tumor"
"TCGA-AC-A3HN-01" "TCGA-AC-A3HN" "Tumor"
"TCGA-AC-A3OD-01" "TCGA-AC-A3OD" "Tumor"
"TCGA-AC-A3QP-01" "TCGA-AC-A3QP" "Tumor"
"TCGA-AC-A3QQ-01" "TCGA-AC-A3QQ" "Tumor"
"TCGA-AC-A3TM-01" "TCGA-AC-A3TM" "Tumor"
"TCGA-AC-A3TN-01" "TCGA-AC-A3TN" "Tumor"
"TCGA-AC-A3W5-01" "TCGA-AC-A3W5" "Tumor"
"TCGA-AC-A3W6-01" "TCGA-AC-A3W6" "Tumor"
"TCGA-AC-A3W7-01" "TCGA-AC-A3W7" "Tumor"
"TCGA-AC-A3YI-01" "TCGA-AC-A3YI" "Tumor"
"TCGA-AC-A3YJ-01" "TCGA-AC-A3YJ" "Tumor"
"TCGA-AC-A4ZE-01" "TCGA-AC-A4ZE" "Tumor"
"TCGA-AC-A5EH-01" "TCGA-AC-A5EH" "Tumor"
"TCGA-AC-A5XS-01" "TCGA-AC-A5XS" "Tumor"
"TCGA-AC-A5XU-01" "TCGA-AC-A5XU" "Tumor"
"TCGA-AC-A62V-01" "TCGA-AC-A62V" "Tumor"
"TCGA-AC-A62X-01" "TCGA-AC-A62X" "Tumor"
"TCGA-AC-A62Y-01" "TCGA-AC-A62Y" "Tumor"
